GOLD_Time,GOLD_USD_AM,GOLD_USD_PM,GOLD_GBP_AM,GOLD_GBP_PM,GOLD_EUR_AM,GOLD_EUR_PM,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,ADA_Market_Cap,LTC_Open,LTC_High,LTC_Low,LTC_Close,LTC_Volume,LTC_Market_Cap,EOS_Open,EOS_High,EOS_Low,EOS_Close,EOS_Volume,EOS_Market_Cap,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,ETH_Market_Cap,BCH_Open,BCH_High,BCH_Low,BCH_Close,BCH_Volume,BCH_Market_Cap,BNB_Open,BNB_High,BNB_Low,BNB_Close,BNB_Volume,BNB_Market_Cap,BSV_Open,BSV_High,BSV_Low,BSV_Close,BSV_Volume,BSV_Market_Cap,USDT_Open,USDT_High,USDT_Low,USDT_Close,USDT_Volume,USDT_Market_Cap,XLM_Open,XLM_High,XLM_Low,XLM_Close,XLM_Volume,XLM_Market_Cap,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,XRP_Market_Cap,XTZ_Open,XTZ_High,XTZ_Low,XTZ_Close,XTZ_Volume,XTZ_Market_Cap,EURGBP_Open,EURGBP_High,EURGBP_Low,EURGBP_Close,EURGBP_Volume,EURHUF_Open,EURHUF_High,EURHUF_Low,EURHUF_Close,EURHUF_Volume,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,IBB_Open,IBB_High,IBB_Low,IBB_Close,IBB_Volume,ICE_Open,ICE_High,ICE_Low,ICE_Close,ICE_Volume,IEF_Open,IEF_High,IEF_Low,IEF_Close,IEF_Volume,NVIDIA_Open,NVIDIA_High,NVIDIA_Low,NVIDIA_Close,NVIDIA_Volume,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Volume,GOOGLE_Open,GOOGLE_High,GOOGLE_Low,GOOGLE_Close,GOOGLE_Volume,GPS_Open,GPS_High,GPS_Low,GPS_Close,GPS_Volume,COCOA_Open,COCOA_High,COCOA_Low,COCOA_Close,COCOA_Volume,IBM_Open,IBM_High,IBM_Low,IBM_Close,IBM_Volume,Day_Cos,Day_Sin
2019-12-31,1523.0,1523.0,1157.78,1157.78,1358.06,1358.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,230.5,235.675,230.2,235.3,5766007.0,45.86,46.09,44.927,45.86,31562358.0,1330.11,1338.0,1329.085,1337.02,961438.0,17.76,17.86,17.58,17.69,0.0,,,,,0.0,132.55,134.11,132.44,133.98,0.0,-0.22252093395631434,0.9749279121818236
2019-12-30,1511.5,1515.0,1152.37,1152.57,1350.22,1351.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,235.84,236.2,231.09,232.32,6263092.0,45.52,46.17,44.66,45.52,40899781.0,1350.0,1353.0,1334.02,1336.14,1047066.0,17.81,18.07,17.62,17.81,0.0,,,,,0.0,135.25,135.278,132.5,132.78,0.0,0.6234898018587336,0.7818314824680298
2019-12-29,1510.6,1511.5,1156.36,1152.67,1356.37,1353.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,1.0,-2.4492935982947064e-16
2019-12-28,1510.6,1511.5,1156.36,1152.67,1356.37,1353.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.6234898018587334,-0.7818314824680299
2019-12-27,1510.6,1511.5,1156.36,1152.67,1356.37,1353.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,239.61,240.34,235.81,236.87,6320454.0,46.85,46.88,45.975,46.18,36324219.0,1362.99,1364.24,1349.31,1351.89,1030643.0,17.99,18.039,17.69,17.84,0.0,,,,,0.0,135.0,135.75,134.87,135.26,0.0,-0.2225209339563146,-0.9749279121818236
2019-12-26,1491.0,1491.0,1152.58,1152.58,1345.94,1345.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,238.76,240.32,238.0,239.19,4450579.0,47.0,47.31,45.666000000000004,46.63,57161610.0,1360.4,1361.3270000000002,1344.47,1360.4,666343.0,17.75,17.97,17.68,17.93,0.0,,,,,0.0,135.0,135.305,134.65,134.92,0.0,-0.9009688679024191,-0.433883739117558
2019-12-25,1491.0,1491.0,1152.58,1152.58,1345.94,1345.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,-0.900968867902419,0.43388373911755823
2019-12-24,1491.0,1491.0,1152.58,1152.58,1345.94,1345.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,238.11,239.31,236.85,238.62,3401862.0,46.1,46.61,45.77,46.54,44354524.0,1343.56,1350.0,1342.78,1343.56,321583.0,17.75,18.02,17.6,17.63,0.0,,,,,0.0,135.55,135.62,134.61,134.95,0.0,-0.22252093395631434,0.9749279121818236
2019-12-23,1484.0,1482.1,1141.9,1145.81,1338.97,1336.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,240.52,241.81,238.39,238.82,8391083.0,44.57,45.62,44.39,45.46,55605898.0,1355.87,1359.78,1346.51,1348.84,843657.0,17.65,17.72,17.38,17.66,0.0,,,,,0.0,135.6,136.12,135.01,135.56,0.0,0.6234898018587336,0.7818314824680298
2019-12-22,1476.9,1479.0,1132.19,1133.95,1328.47,1334.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,1.0,-2.4492935982947064e-16
